biome_lineage,biome_name,sample_accession,host_scientific_name,run_accession,experiment_type
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418302,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418303,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418304,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418305,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418307,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418308,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418309,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418310,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418311,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418312,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418313,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418314,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418315,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418316,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418318,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418319,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418320,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418321,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418322,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418323,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418324,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418325,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418326,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418327,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418329,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418330,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418331,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418332,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418333,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418334,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418335,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418336,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418337,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418338,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418340,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418341,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627022,Apis mellifera,SRR10418342,unknown
